order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit,Order Date
743,4,Second Class,Consumer,California,Binders,11.648,2,0.2,4.2224,2016-01-16
743,4,Second Class,Consumer,California,Accessories,90.57,3,0.0,11.7741,2016-01-16
622,4,Standard Class,Consumer,Pennsylvania,Bookcases,3083.43,7,0.5,-1665.0522,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Binders,9.618,2,0.7,-7.0532,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Furnishings,124.2,3,0.2,15.525,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Envelopes,3.264,2,0.2,1.1016,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Art,86.304,6,0.2,9.7092,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Binders,6.858,6,0.7,-5.715,2015-09-17
622,4,Standard Class,Consumer,Pennsylvania,Art,15.76,2,0.2,3.546,2015-09-17
1070,2,First Class,Corporate,Texas,Phones,1097.544,7,0.2,123.4737,2016-12-08
1070,2,First Class,Corporate,Texas,Furnishings,190.92,5,0.6,-147.963,2016-12-08
723,4,Standard Class,Home Office,Texas,Envelopes,113.328,9,0.2,35.415,2015-12-27
723,4,Standard Class,Home Office,Texas,Bookcases,532.3992,3,0.32,-46.9764,2015-12-27
723,4,Standard Class,Home Office,Texas,Chairs,212.058,3,0.3,-15.147,2015-12-27
723,4,Standard Class,Home Office,Texas,Phones,371.168,4,0.2,41.7564,2015-12-27
926,5,Standard Class,Corporate,California,Storage,77.88,2,0.0,3.894,2016-07-17
798,2,First Class,Corporate,Minnesota,Accessories,45.98,2,0.0,19.7714,2016-03-11
798,2,First Class,Corporate,Minnesota,Binders,17.46,2,0.0,8.2062,2016-03-11
290,5,Second Class,Consumer,Michigan,Storage,211.96,4,0.0,8.4784,2014-10-20
899,5,Standard Class,Consumer,Delaware,Accessories,45.0,3,0.0,4.95,2016-06-20
899,5,Standard Class,Consumer,Delaware,Phones,21.8,2,0.0,6.104,2016-06-20
470,4,Standard Class,Consumer,Indiana,Binders,38.22,6,0.0,17.9634,2015-04-18
470,4,Standard Class,Consumer,Indiana,Labels,75.18,6,0.0,35.3346,2015-04-18
470,4,Standard Class,Consumer,Indiana,Furnishings,6.16,2,0.0,2.9568,2015-04-18
470,4,Standard Class,Consumer,Indiana,Chairs,89.99,1,0.0,17.0981,2015-04-18
1073,6,Standard Class,Corporate,New York,Fasteners,15.26,7,0.0,6.2566,2016-12-11
1073,6,Standard Class,Corporate,New York,Phones,1029.95,5,0.0,298.6855,2016-12-11
896,1,First Class,Consumer,New York,Storage,208.56,6,0.0,52.14,2016-06-17
896,1,First Class,Consumer,New York,Paper,32.4,5,0.0,15.552,2016-06-17
896,1,First Class,Consumer,New York,Chairs,319.41,5,0.1,7.098,2016-06-17
896,1,First Class,Consumer,New York,Paper,14.56,2,0.0,6.9888,2016-06-17
896,1,First Class,Consumer,New York,Accessories,30.0,2,0.0,3.3,2016-06-17
896,1,First Class,Consumer,New York,Binders,48.48,4,0.2,16.362,2016-06-17
896,1,First Class,Consumer,New York,Art,1.68,1,0.0,0.84,2016-06-17
690,6,Standard Class,Consumer,California,Accessories,13.98,2,0.0,6.1512,2015-11-24
690,6,Standard Class,Consumer,California,Binders,25.824,6,0.2,9.3612,2015-11-24
690,6,Standard Class,Consumer,California,Paper,146.73,3,0.0,68.9631,2015-11-24
690,6,Standard Class,Consumer,California,Furnishings,79.76,4,0.0,22.3328,2015-11-24
482,5,Standard Class,Home Office,Illinois,Chairs,213.115,5,0.3,-15.2225,2015-04-30
336,5,Standard Class,Corporate,Arizona,Art,1113.024,8,0.2,111.3024,2014-12-05
336,5,Standard Class,Corporate,Arizona,Phones,167.968,4,0.2,62.988,2014-12-05
883,2,First Class,Consumer,Virginia,Paper,75.88,2,0.0,35.6636,2016-06-04
989,5,Standard Class,Consumer,New York,Binders,4.616,1,0.2,1.731,2016-09-18
478,6,Standard Class,Consumer,Tennessee,Chairs,831.936,8,0.2,-114.3912,2015-04-26
478,6,Standard Class,Consumer,Tennessee,Furnishings,97.04,2,0.2,1.213,2015-04-26
478,6,Standard Class,Consumer,Tennessee,Storage,72.784,1,0.2,-18.196,2015-04-26
327,5,Second Class,Consumer,Texas,Furnishings,19.3,5,0.6,-14.475,2014-11-26
891,3,First Class,Corporate,Alabama,Appliances,208.16,1,0.0,56.2032,2016-06-12
891,3,First Class,Corporate,Alabama,Binders,16.74,3,0.0,8.0352,2016-06-12
282,4,Standard Class,Consumer,California,Art,14.9,5,0.0,4.172,2014-10-12
282,4,Standard Class,Consumer,California,Storage,21.39,1,0.0,6.2031,2014-10-12
608,5,Standard Class,Corporate,North Carolina,Envelopes,200.984,7,0.2,62.8075,2015-09-03
823,5,Second Class,Home Office,Texas,Storage,158.368,7,0.2,13.8572,2016-04-05
988,5,Standard Class,Corporate,California,Art,20.1,3,0.0,6.633,2016-09-17
988,5,Standard Class,Corporate,California,Phones,73.584,2,0.2,8.2782,2016-09-17
988,5,Standard Class,Corporate,California,Paper,6.48,1,0.0,3.1104,2016-09-17
393,5,Second Class,Consumer,Minnesota,Paper,12.96,2,0.0,6.2208,2015-01-31
393,5,Second Class,Consumer,Minnesota,Furnishings,53.34,3,0.0,16.5354,2015-01-31
393,5,Second Class,Consumer,Minnesota,Binders,32.96,2,0.0,16.1504,2015-01-31
977,5,Standard Class,Corporate,Minnesota,Appliances,77.88,6,0.0,22.5852,2016-09-06
969,4,Standard Class,Home Office,Illinois,Paper,64.624,7,0.2,22.6184,2016-08-29
969,4,Standard Class,Home Office,Illinois,Accessories,95.976,3,0.2,-10.7973,2016-08-29
969,4,Standard Class,Home Office,Illinois,Binders,1.788,3,0.8,-3.0396,2016-08-29
1063,3,Second Class,Consumer,Minnesota,Paper,23.92,4,0.0,11.7208,2016-12-01
679,4,Standard Class,Consumer,Colorado,Accessories,238.896,6,0.2,-26.8758,2015-11-13
679,4,Standard Class,Consumer,Colorado,Furnishings,102.36,3,0.2,-3.8385,2015-11-13
679,4,Standard Class,Consumer,Colorado,Binders,36.882,3,0.7,-25.8174,2015-11-13
650,5,Standard Class,Home Office,Illinois,Accessories,339.96,5,0.2,67.992,2015-10-15
1035,7,Standard Class,Consumer,Iowa,Art,75.96,2,0.0,22.788,2016-11-03
1035,7,Standard Class,Consumer,Iowa,Binders,27.24,6,0.0,13.3476,2016-11-03
234,2,Second Class,Consumer,Ohio,Fasteners,40.096,14,0.2,14.5348,2014-08-25
234,2,Second Class,Consumer,Ohio,Envelopes,4.72,2,0.2,1.652,2014-08-25
234,2,Second Class,Consumer,Ohio,Paper,23.976,3,0.2,7.4925,2014-08-25
234,2,Second Class,Consumer,Ohio,Envelopes,130.464,6,0.2,44.0316,2014-08-25
423,4,Standard Class,Consumer,Washington,Tables,787.53,3,0.0,165.3813,2015-03-02
457,5,Standard Class,Corporate,Tennessee,Binders,157.794,1,0.7,-115.7156,2015-04-05
891,3,First Class,Consumer,Delaware,Furnishings,47.04,3,0.0,18.3456,2016-06-12
891,3,First Class,Consumer,Delaware,Binders,30.84,4,0.0,13.878,2016-06-12
891,3,First Class,Consumer,Delaware,Storage,226.56,6,0.0,63.4368,2016-06-12
891,3,First Class,Consumer,Delaware,Envelopes,115.02,9,0.0,51.759,2016-06-12
891,3,First Class,Consumer,Delaware,Phones,68.04,7,0.0,19.7316,2016-06-12
357,2,Second Class,Home Office,Texas,Chairs,600.558,3,0.3,-8.5794,2014-12-26
260,5,Standard Class,Consumer,Illinois,Tables,617.7,6,0.5,-407.682,2014-09-20
1038,4,Second Class,Home Office,California,Chairs,81.424,2,0.2,-9.1602,2016-11-06
1038,4,Second Class,Home Office,California,Furnishings,238.56,3,0.0,26.2416,2016-11-06
1014,6,Standard Class,Consumer,California,Paper,20.04,3,0.0,9.6192,2016-10-13
1014,6,Standard Class,Consumer,California,Paper,35.44,1,0.0,16.6568,2016-10-13
1014,6,Standard Class,Consumer,California,Art,11.52,4,0.0,3.456,2016-10-13
1014,6,Standard Class,Consumer,California,Fasteners,4.02,2,0.0,1.9698,2016-10-13
1014,6,Standard Class,Consumer,California,Binders,76.176,3,0.2,26.6616,2016-10-13
1014,6,Standard Class,Consumer,California,Supplies,65.88,6,0.0,18.4464,2016-10-13
1014,6,Standard Class,Consumer,California,Furnishings,43.12,14,0.0,20.6976,2016-10-13
976,2,Second Class,Corporate,Pennsylvania,Furnishings,82.8,2,0.2,10.35,2016-09-05
612,5,Standard Class,Consumer,California,Storage,671.93,7,0.0,20.1579,2015-09-07
292,6,Standard Class,Home Office,Ohio,Furnishings,93.888,4,0.2,12.9096,2014-10-22
1067,4,Standard Class,Corporate,Wisconsin,Phones,384.45,11,0.0,103.8015,2016-12-05
1067,4,Standard Class,Corporate,Wisconsin,Phones,149.97,3,0.0,5.9988,2016-12-05
1067,4,Standard Class,Corporate,Wisconsin,Chairs,1951.84,8,0.0,585.552,2016-12-05
1067,4,Standard Class,Corporate,Wisconsin,Binders,171.55,5,0.0,80.6285,2016-12-05
800,3,First Class,Home Office,Arizona,Appliances,157.92,5,0.2,17.766,2016-03-13
800,3,First Class,Home Office,Arizona,Phones,203.184,2,0.2,15.2388,2016-03-13
513,2,First Class,Corporate,California,Paper,58.38,7,0.0,26.271,2015-05-31
513,2,First Class,Corporate,California,Paper,105.52,4,0.0,48.5392,2015-05-31
513,2,First Class,Corporate,California,Storage,80.88,6,0.0,21.0288,2015-05-31
510,6,Standard Class,Home Office,Washington,Art,6.63,3,0.0,1.7901,2015-05-28
57,5,Second Class,Consumer,Washington,Chairs,457.568,2,0.2,51.4764,2014-03-01
1052,4,Standard Class,Consumer,Oklahoma,Labels,14.62,2,0.0,6.8714,2016-11-20
1052,4,Standard Class,Consumer,Oklahoma,Phones,944.93,7,0.0,236.2325,2016-11-20
859,1,First Class,Consumer,California,Paper,5.98,1,0.0,2.691,2016-05-11
724,3,Second Class,Consumer,Pennsylvania,Accessories,54.384,2,0.2,1.3596,2015-12-28
1048,4,Standard Class,Consumer,New Mexico,Envelopes,28.4,5,0.0,13.348,2016-11-16
1039,4,Standard Class,Consumer,Washington,Binders,27.68,2,0.2,9.688,2016-11-07
248,4,Standard Class,Consumer,Texas,Art,9.936,3,0.2,2.7324,2014-09-08
248,4,Standard Class,Consumer,Texas,Machines,8159.952,8,0.4,-1359.992,2014-09-08
248,4,Standard Class,Consumer,Texas,Storage,275.928,3,0.2,-58.6347,2014-09-08
248,4,Standard Class,Consumer,Texas,Chairs,1740.06,9,0.3,-24.858,2014-09-08
248,4,Standard Class,Consumer,Texas,Art,32.064,6,0.2,6.8136,2014-09-08
248,4,Standard Class,Consumer,Texas,Appliances,177.98,5,0.8,-453.849,2014-09-08
248,4,Standard Class,Consumer,Texas,Phones,143.976,3,0.2,8.9985,2014-09-08
214,4,Standard Class,Consumer,California,Paper,20.94,3,0.0,9.8418,2014-08-05
214,4,Standard Class,Consumer,California,Paper,110.96,2,0.0,53.2608,2014-08-05
214,4,Standard Class,Consumer,California,Chairs,340.144,7,0.2,21.259,2014-08-05
254,5,Standard Class,Corporate,Illinois,Appliances,52.448,2,0.8,-131.12,2014-09-14
254,5,Standard Class,Corporate,Illinois,Labels,20.16,4,0.2,6.552,2014-09-14
687,2,Second Class,Consumer,Ohio,Chairs,396.802,7,0.3,-11.3372,2015-11-21
687,2,Second Class,Consumer,Ohio,Supplies,15.88,5,0.2,-3.7715,2015-11-21
711,4,Standard Class,Home Office,New York,Art,3.28,1,0.0,1.4104,2015-12-15
336,4,Second Class,Corporate,Illinois,Storage,24.816,2,0.2,1.8612,2014-12-05
336,4,Second Class,Corporate,Illinois,Accessories,408.744,7,0.2,76.6395,2014-12-05
320,5,Second Class,Home Office,Louisiana,Phones,503.96,4,0.0,131.0296,2014-11-19
320,5,Second Class,Home Office,Louisiana,Phones,149.95,5,0.0,41.986,2014-11-19
320,5,Second Class,Home Office,Louisiana,Accessories,29.0,2,0.0,7.25,2014-11-19
1060,4,Standard Class,Consumer,Connecticut,Binders,7.16,2,0.0,3.4368,2016-11-28
235,4,Standard Class,Home Office,California,Accessories,176.8,8,0.0,22.984,2014-08-26
925,6,Standard Class,Corporate,Texas,Storage,37.224,3,0.2,3.7224,2016-07-16
925,6,Standard Class,Corporate,Texas,Paper,20.016,3,0.2,6.255,2016-07-16
647,2,First Class,Home Office,New York,Bookcases,899.136,4,0.2,112.392,2015-10-12
647,2,First Class,Home Office,New York,Phones,71.76,6,0.0,20.0928,2015-10-12
647,2,First Class,Home Office,New York,Paper,51.84,8,0.0,24.8832,2015-10-12
647,2,First Class,Home Office,New York,Bookcases,626.352,3,0.2,46.9764,2015-10-12
647,2,First Class,Home Office,New York,Art,19.9,5,0.0,6.567,2015-10-12
666,6,Standard Class,Corporate,California,Envelopes,14.28,7,0.0,6.7116,2015-10-31
77,4,Standard Class,Consumer,Ohio,Art,7.408,2,0.2,1.2038,2014-03-21
77,4,Standard Class,Consumer,Ohio,Art,6.048,3,0.2,1.5876,2014-03-21
212,2,First Class,Consumer,Colorado,Tables,218.75,2,0.5,-161.875,2014-08-03
212,2,First Class,Consumer,Colorado,Appliances,2.6,1,0.2,0.2925,2014-08-03
402,4,Second Class,Corporate,Texas,Accessories,20.8,2,0.2,6.5,2015-02-09
364,7,Standard Class,Corporate,Ohio,Labels,23.68,2,0.2,8.88,2015-01-02
364,7,Standard Class,Corporate,Ohio,Bookcases,452.45,5,0.5,-244.323,2015-01-02
364,7,Standard Class,Corporate,Ohio,Phones,62.982,3,0.4,-14.6958,2015-01-02
364,7,Standard Class,Corporate,Ohio,Machines,1188.0,9,0.7,-950.4,2015-01-02
364,7,Standard Class,Corporate,Ohio,Accessories,89.584,2,0.2,4.4792,2015-01-02
1029,4,Standard Class,Consumer,California,Storage,93.06,6,0.0,26.0568,2016-10-28
1029,4,Standard Class,Consumer,California,Phones,302.376,3,0.2,22.6782,2016-10-28
720,3,First Class,Consumer,Ohio,Fasteners,5.584,2,0.2,1.8148,2015-12-24
720,3,First Class,Consumer,Ohio,Paper,22.704,6,0.2,8.2302,2015-12-24
720,3,First Class,Consumer,Ohio,Binders,19.776,4,0.7,-13.8432,2015-12-24
720,3,First Class,Consumer,Ohio,Furnishings,72.704,4,0.2,19.0848,2015-12-24
720,3,First Class,Consumer,Ohio,Machines,479.988,4,0.7,-383.9904,2015-12-24
720,3,First Class,Consumer,Ohio,Art,27.168,2,0.2,2.7168,2015-12-24
583,7,Standard Class,Corporate,Michigan,Art,2.2,1,0.0,0.968,2015-08-09
583,7,Standard Class,Corporate,Michigan,Tables,622.45,5,0.0,136.939,2015-08-09
583,7,Standard Class,Corporate,Michigan,Storage,21.98,1,0.0,0.2198,2015-08-09
421,4,Standard Class,Consumer,Tennessee,Chairs,161.568,2,0.2,-28.2744,2015-02-28
421,4,Standard Class,Consumer,Tennessee,Chairs,389.696,8,0.2,43.8408,2015-02-28
253,4,Standard Class,Corporate,North Carolina,Binders,18.648,7,0.7,-12.432,2014-09-13
883,5,Second Class,Consumer,Illinois,Paper,25.92,5,0.2,9.396,2016-06-04
883,5,Second Class,Consumer,Illinois,Furnishings,419.68,5,0.6,-356.728,2016-06-04
883,5,Second Class,Consumer,Illinois,Furnishings,11.688,3,0.6,-4.6752,2016-06-04
883,5,Second Class,Consumer,Illinois,Phones,31.984,2,0.2,11.1944,2016-06-04
883,5,Second Class,Consumer,Illinois,Tables,177.225,5,0.5,-120.513,2016-06-04
883,5,Second Class,Consumer,Illinois,Furnishings,4.044,3,0.6,-2.8308,2016-06-04
883,5,Second Class,Consumer,Illinois,Art,7.408,2,0.2,1.2038,2016-06-04
149,5,Second Class,Home Office,Minnesota,Chairs,2001.86,7,0.0,580.5394,2014-06-01
149,5,Second Class,Home Office,Minnesota,Storage,166.72,2,0.0,41.68,2014-06-01
149,5,Second Class,Home Office,Minnesota,Paper,47.88,6,0.0,23.94,2014-06-01
149,5,Second Class,Home Office,Minnesota,Appliances,1503.25,5,0.0,496.0725,2014-06-01
149,5,Second Class,Home Office,Minnesota,Paper,25.92,4,0.0,12.4416,2014-06-01
1072,5,Second Class,Consumer,California,Chairs,321.568,2,0.2,28.1372,2016-12-10
982,6,Standard Class,Consumer,California,Paper,7.61,1,0.0,3.5767,2016-09-11
982,6,Standard Class,Consumer,California,Accessories,3347.37,13,0.0,636.0003,2016-09-11
1072,3,First Class,Consumer,New York,Storage,80.58,6,0.0,22.5624,2016-12-10
1072,3,First Class,Consumer,New York,Envelopes,361.92,4,0.0,162.864,2016-12-10
694,6,Standard Class,Corporate,Illinois,Furnishings,12.132,9,0.6,-8.4924,2015-11-28
694,6,Standard Class,Corporate,Illinois,Storage,82.368,2,0.2,-19.5624,2015-11-28
694,6,Standard Class,Corporate,Illinois,Storage,53.92,5,0.2,4.044,2015-11-28
694,6,Standard Class,Corporate,Illinois,Phones,647.904,6,0.2,56.6916,2015-11-28
259,2,Second Class,Corporate,Texas,Machines,3059.982,3,0.4,-509.997,2014-09-19
259,2,Second Class,Corporate,Texas,Machines,2519.958,7,0.4,-251.9958,2014-09-19
885,7,Standard Class,Consumer,Illinois,Phones,328.224,4,0.2,28.7196,2016-06-06
676,5,Standard Class,Consumer,California,Accessories,79.9,2,0.0,35.156,2015-11-10
749,6,Standard Class,Consumer,New Jersey,Fasteners,7.56,6,0.0,0.3024,2016-01-22
573,1,First Class,Consumer,California,Accessories,209.93,7,0.0,92.3692,2015-07-30
573,1,First Class,Consumer,California,Furnishings,5.28,3,0.0,2.3232,2015-07-30
573,1,First Class,Consumer,California,Binders,10.92,3,0.2,4.095,2015-07-30
631,2,Second Class,Consumer,Texas,Binders,2.08,5,0.8,-3.432,2015-09-26
631,2,Second Class,Consumer,Texas,Phones,1114.4,7,0.2,376.11,2015-09-26
668,4,Standard Class,Consumer,California,Tables,1038.84,5,0.2,51.942,2015-11-02
631,6,Standard Class,Consumer,Oregon,Paper,141.76,5,0.2,47.844,2015-09-26
631,6,Standard Class,Consumer,Oregon,Accessories,239.8,5,0.2,47.96,2015-09-26
631,6,Standard Class,Consumer,Oregon,Paper,31.104,6,0.2,10.8864,2015-09-26
1080,2,Second Class,Corporate,Florida,Binders,254.058,7,0.7,-169.372,2016-12-18
1080,2,Second Class,Corporate,Florida,Appliances,194.528,2,0.2,24.316,2016-12-18
1080,2,Second Class,Corporate,Florida,Supplies,961.48,5,0.2,-204.3145,2016-12-18
1052,4,Second Class,Home Office,Ohio,Fasteners,19.096,7,0.2,6.6836,2016-11-20
1052,4,Second Class,Home Office,Ohio,Labels,18.496,8,0.2,6.2424,2016-11-20
1052,4,Second Class,Home Office,Ohio,Accessories,255.984,2,0.2,54.3966,2016-11-20
1052,4,Second Class,Home Office,Ohio,Bookcases,86.97,3,0.5,-48.7032,2016-11-20
357,2,First Class,Corporate,Colorado,Furnishings,300.416,8,0.2,78.8592,2014-12-26
357,2,First Class,Corporate,Colorado,Chairs,230.352,3,0.2,20.1558,2014-12-26
357,2,First Class,Corporate,Colorado,Furnishings,218.352,3,0.2,-24.5646,2014-12-26
357,2,First Class,Corporate,Colorado,Binders,78.6,5,0.7,-62.88,2014-12-26
357,2,First Class,Corporate,Colorado,Fasteners,27.552,3,0.2,9.2988,2014-12-26
1029,6,Standard Class,Corporate,New Jersey,Paper,32.4,5,0.0,15.552,2016-10-28
1029,6,Standard Class,Corporate,New Jersey,Storage,1082.48,8,0.0,10.8248,2016-10-28
1029,6,Standard Class,Corporate,New Jersey,Paper,56.91,3,0.0,27.3168,2016-10-28
1029,6,Standard Class,Corporate,New Jersey,Furnishings,77.6,4,0.0,38.024,2016-10-28
1029,6,Standard Class,Corporate,New Jersey,Binders,14.28,1,0.0,6.5688,2016-10-28
486,5,Second Class,Corporate,New York,Furnishings,26.8,2,0.0,12.864,2015-05-04
361,5,Standard Class,Corporate,Michigan,Art,9.84,3,0.0,2.8536,2014-12-30
149,5,Standard Class,Home Office,New Jersey,Binders,45.48,3,0.0,20.9208,2014-06-01
149,5,Standard Class,Home Office,New Jersey,Art,289.2,6,0.0,83.868,2014-06-01
983,2,Second Class,Corporate,Colorado,Furnishings,15.136,4,0.2,3.5948,2016-09-12
983,2,Second Class,Corporate,Colorado,Chairs,466.768,2,0.2,52.5114,2016-09-12
983,2,Second Class,Corporate,Colorado,Furnishings,15.232,1,0.2,1.7136,2016-09-12
983,2,Second Class,Corporate,Colorado,Labels,6.264,3,0.2,2.0358,2016-09-12
267,6,Standard Class,Corporate,New Jersey,Furnishings,87.54,3,0.0,37.6422,2014-09-27
218,7,Standard Class,Corporate,Florida,Phones,178.384,2,0.2,22.298,2014-08-09
218,7,Standard Class,Corporate,Florida,Paper,15.552,3,0.2,5.4432,2014-08-09
359,2,First Class,Corporate,Pennsylvania,Art,99.136,4,0.2,8.6744,2014-12-28
305,5,Standard Class,Home Office,New York,Chairs,135.882,1,0.1,24.1568,2014-11-04
305,5,Standard Class,Home Office,New York,Machines,3991.98,2,0.0,1995.99,2014-11-04
305,5,Standard Class,Home Office,New York,Phones,275.94,6,0.0,80.0226,2014-11-04
305,5,Standard Class,Home Office,New York,Accessories,360.0,4,0.0,129.6,2014-11-04
305,5,Standard Class,Home Office,New York,Storage,43.57,1,0.0,13.071,2014-11-04
259,5,Standard Class,Corporate,California,Fasteners,7.16,2,0.0,3.58,2014-09-19
841,4,Standard Class,Corporate,California,Binders,251.52,6,0.2,81.744,2016-04-23
841,4,Standard Class,Corporate,California,Accessories,99.99,1,0.0,34.9965,2016-04-23
970,2,First Class,Consumer,Pennsylvania,Phones,290.898,3,0.4,-67.8762,2016-08-30
970,2,First Class,Consumer,Pennsylvania,Storage,54.224,2,0.2,3.389,2016-08-30
970,2,First Class,Consumer,Pennsylvania,Chairs,786.744,4,0.3,-258.5016,2016-08-30
970,2,First Class,Consumer,Pennsylvania,Labels,100.24,10,0.2,33.831,2016-08-30
970,2,First Class,Consumer,Pennsylvania,Binders,37.764,6,0.7,-27.6936,2016-08-30
843,4,Second Class,Consumer,Pennsylvania,Phones,82.8,2,0.4,-20.7,2016-04-25
843,4,Second Class,Consumer,Pennsylvania,Binders,20.724,2,0.7,-13.816,2016-04-25
843,4,Second Class,Consumer,Pennsylvania,Binders,4.896,3,0.7,-3.4272,2016-04-25
606,3,Second Class,Consumer,California,Binders,4.752,1,0.2,1.6038,2015-09-01
606,3,Second Class,Consumer,California,Copiers,959.984,2,0.2,335.9944,2015-09-01
606,3,Second Class,Consumer,California,Binders,14.368,4,0.2,4.49,2015-09-01
190,5,Standard Class,Corporate,California,Binders,7.712,2,0.2,2.7956,2014-07-12
190,5,Standard Class,Corporate,California,Tables,698.352,3,0.2,-17.4588,2014-07-12
535,4,Second Class,Consumer,Utah,Fasteners,4.96,4,0.0,2.3312,2015-06-22
100,4,Second Class,Corporate,Pennsylvania,Art,17.856,4,0.2,1.116,2014-04-13
100,4,Second Class,Corporate,Pennsylvania,Binders,509.97,10,0.7,-407.976,2014-04-13
100,4,Second Class,Corporate,Pennsylvania,Fasteners,30.992,13,0.2,10.0724,2014-04-13
100,4,Second Class,Corporate,Pennsylvania,Phones,71.928,12,0.4,8.3916,2014-04-13
716,4,Standard Class,Consumer,Texas,Storage,88.8,4,0.2,-2.22,2015-12-20
972,2,First Class,Home Office,New York,Accessories,6.79,1,0.0,2.3086,2016-09-01
972,2,First Class,Home Office,New York,Paper,24.56,2,0.0,11.5432,2016-09-01
972,2,First Class,Home Office,New York,Binders,3.048,1,0.2,1.0668,2016-09-01
972,2,First Class,Home Office,New York,Paper,49.12,4,0.0,23.0864,2016-09-01
972,2,First Class,Home Office,New York,Binders,4355.168,4,0.2,1415.4296,2016-09-01
826,5,Standard Class,Consumer,New York,Bookcases,388.704,6,0.2,-4.8588,2016-04-08
826,5,Standard Class,Consumer,New York,Envelopes,8.26,2,0.0,3.7996,2016-04-08
826,5,Standard Class,Consumer,New York,Art,17.04,4,0.0,6.9864,2016-04-08
826,5,Standard Class,Consumer,New York,Paper,34.4,5,0.0,15.824,2016-04-08
841,5,Standard Class,Corporate,North Carolina,Paper,36.24,5,0.2,11.325,2016-04-23
264,5,Standard Class,Consumer,California,Storage,211.96,4,0.0,8.4784,2014-09-24
1022,0,Same Day,Corporate,Connecticut,Binders,23.2,4,0.0,10.44,2016-10-21
1022,0,Same Day,Corporate,Connecticut,Supplies,7.36,2,0.0,0.1472,2016-10-21
1022,0,Same Day,Corporate,Connecticut,Storage,104.79,7,0.0,29.3412,2016-10-21
1022,0,Same Day,Corporate,Connecticut,Bookcases,1043.92,4,0.0,271.4192,2016-10-21
201,4,Standard Class,Consumer,Arizona,Binders,8.16,5,0.7,-5.712,2014-07-23
201,4,Standard Class,Consumer,Arizona,Accessories,1023.936,8,0.2,179.1888,2014-07-23
201,4,Standard Class,Consumer,Arizona,Art,9.24,1,0.2,0.924,2014-07-23
201,4,Standard Class,Consumer,Arizona,Accessories,479.04,10,0.2,-29.94,2014-07-23
999,3,First Class,Corporate,Illinois,Paper,99.136,4,0.2,30.98,2016-09-28
480,7,Standard Class,Consumer,Texas,Appliances,8.652,3,0.8,-20.3322,2015-04-28
480,7,Standard Class,Consumer,Texas,Storage,23.832,3,0.2,2.6811,2015-04-28
480,7,Standard Class,Consumer,Texas,Binders,12.176,4,0.8,-18.8728,2015-04-28
1029,1,First Class,Corporate,California,Paper,50.96,7,0.0,25.48,2016-10-28
1029,1,First Class,Corporate,California,Binders,49.536,3,0.2,17.3376,2016-10-28
539,3,Second Class,Corporate,Michigan,Accessories,41.9,2,0.0,8.799,2015-06-26
