Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_day_index,ship_delay_days
2015-01-09,2015-01-12,Standard Class,Consumer,United States,Utah,West,Office Supplies,Art,37.0665,5,0.0,277.0301,371,3
2014-12-05,2014-12-07,Second Class,Corporate,United States,Arizona,West,Furniture,Tables,324.6523,3,0.0,1006.4649,336,2
2014-10-16,2014-10-17,Same Day,Corporate,United States,Florida,South,Office Supplies,Envelopes,52.0943,2,0.0,24.6825,286,1
2016-12-31,2017-01-04,Standard Class,Consumer,United States,Virginia,South,Furniture,Tables,108.2448,2,0.0,-14.1769,1093,4
2015-11-05,2015-11-08,Standard Class,Corporate,United States,Texas,Central,Office Supplies,Fasteners,7.095,2,0.0,324.5832,671,3
2016-12-05,2016-12-08,Standard Class,Consumer,United States,Connecticut,East,Office Supplies,Appliances,439.3574,2,0.3,12.0303,1067,3
2016-03-25,2016-03-26,First Class,Home Office,United States,Florida,South,Office Supplies,Binders,92.3801,2,0.6,12.9708,812,1
2015-03-27,2015-03-30,Standard Class,Consumer,United States,Arkansas,South,Office Supplies,Appliances,108.9029,2,0.0,56.8036,448,3
2016-11-07,2016-11-10,Standard Class,Corporate,United States,California,West,Office Supplies,Binders,89.4003,2,0.0,31.474,1039,3
2015-08-02,2015-08-08,Standard Class,Home Office,United States,Texas,Central,Technology,Machines,2150.5379,2,0.0,53.0475,576,6
2016-10-03,2016-10-08,Second Class,Corporate,United States,Washington,West,Technology,Accessories,1178.1141,1,0.0,-25.3205,1004,5
2016-03-26,2016-03-31,Second Class,Consumer,United States,California,West,Technology,Accessories,45.9905,2,0.0,852.6967,813,5
2015-11-14,2015-11-17,Standard Class,Corporate,United States,California,West,Office Supplies,Paper,44.3244,4,0.0,24.2353,680,3
2016-09-09,2016-09-12,Standard Class,Consumer,United States,Louisiana,South,Technology,Copiers,53.141,7,0.2,-71.3258,980,3
2015-11-01,2015-11-04,Standard Class,Home Office,United States,Rhode Island,East,Furniture,Chairs,77.4938,4,0.0,70.6377,667,3
2016-12-31,2017-01-06,Standard Class,Corporate,United States,California,West,Office Supplies,Appliances,33.2177,3,0.0,19.8762,1093,6
2015-05-28,2015-06-01,Standard Class,Home Office,United States,Mississippi,South,Furniture,Tables,470.6173,6,0.0,-181.4815,510,4
2016-11-15,2016-11-19,First Class,Corporate,United States,California,West,Office Supplies,Supplies,2205.0336,2,0.0,195.2167,1047,4
2014-12-12,2014-12-13,First Class,Corporate,United States,Texas,Central,Office Supplies,Art,42.4851,5,0.0,9.7406,343,1
2016-09-10,2016-09-13,First Class,Consumer,United States,New York,East,Office Supplies,Storage,91.4678,3,0.0,134.6438,981,3
2016-12-31,2017-01-04,Second Class,Consumer,United States,New York,East,Technology,Phones,591.9517,5,0.0,26.4768,1093,4
2016-11-14,2016-11-18,Second Class,Consumer,United States,Oklahoma,Central,Furniture,Furnishings,444.7807,6,0.0,35.7124,1046,4
2016-02-18,2016-02-21,Standard Class,Consumer,United States,Maryland,East,Office Supplies,Paper,103.5395,2,0.7,359.9806,776,3
2015-09-20,2015-09-24,Standard Class,Home Office,United States,Ohio,East,Office Supplies,Appliances,67.7109,1,0.0,74.6636,625,4
2015-04-06,2015-04-10,First Class,Corporate,United States,Michigan,Central,Furniture,Furnishings,279.5167,2,0.0,116.0313,458,4
2016-10-15,2016-10-18,Standard Class,Consumer,United States,Rhode Island,East,Technology,Accessories,47.5186,2,0.0,-31.4835,1016,3
2016-09-18,2016-09-21,Standard Class,Consumer,United States,California,West,Technology,Phones,42.278,6,0.2,253.0458,989,3
2014-10-11,2014-10-12,First Class,Corporate,United States,Connecticut,East,Office Supplies,Paper,98.8656,3,0.0,17.0298,281,1
2015-10-29,2015-11-03,Standard Class,Home Office,United States,Pennsylvania,East,Office Supplies,Art,43.4509,3,0.0,27.1067,664,5
2015-10-13,2015-10-16,Standard Class,Home Office,United States,Texas,Central,Technology,Accessories,142.1354,3,0.0,32.725,648,3
2014-08-20,2014-08-25,Standard Class,Corporate,United States,Connecticut,East,Office Supplies,Appliances,22.4497,8,0.0,123.3164,229,5
2015-08-21,2015-08-22,First Class,Consumer,United States,Ohio,East,Office Supplies,Storage,63.894,5,0.32,95.3403,595,1
2016-11-05,2016-11-12,Standard Class,Consumer,United States,Michigan,Central,Furniture,Chairs,67.846,2,0.0,3.4736,1037,7
2016-12-31,2017-01-03,Second Class,Consumer,United States,California,West,Office Supplies,Appliances,595.8266,2,0.0,1001.7339,1093,3
2016-12-31,2017-01-04,Standard Class,Home Office,United States,Texas,Central,Technology,Machines,21.2764,6,0.0,17.3753,1093,4
2016-01-01,2016-01-01,Same Day,Consumer,United States,California,West,Office Supplies,Paper,0.836,2,0.0,338.9055,728,0
2016-08-16,2016-08-19,Standard Class,Home Office,United States,South Carolina,South,Office Supplies,Art,688.5781,2,0.0,23.4445,956,3
2014-11-27,2014-12-01,First Class,Consumer,United States,Illinois,Central,Office Supplies,Binders,101.9541,2,0.2,-16.122,328,4
2016-02-07,2016-02-11,Standard Class,Corporate,United States,Tennessee,South,Office Supplies,Binders,91.4927,6,0.0,23.2126,765,4
2015-01-07,2015-01-10,Standard Class,Home Office,United States,Ohio,East,Technology,Accessories,68.776,2,0.0,117.4984,369,3
2016-01-07,2016-01-13,Standard Class,Consumer,United States,California,West,Furniture,Furnishings,106.4264,6,0.0,197.9122,734,6
2016-09-07,2016-09-10,Second Class,Corporate,United States,California,West,Furniture,Furnishings,61.3269,2,0.0,17.8752,978,3
2016-12-12,2016-12-15,Standard Class,Consumer,United States,New York,East,Furniture,Chairs,100.5984,2,0.0,153.0547,1074,3
2016-01-27,2016-01-30,Standard Class,Home Office,United States,Texas,Central,Technology,Phones,73.6305,2,0.0,224.3386,754,3
2014-11-03,2014-11-08,Standard Class,Consumer,United States,Pennsylvania,East,Furniture,Furnishings,79.2886,2,0.0,8.8198,304,5
2014-06-27,2014-06-28,First Class,Corporate,United States,Massachusetts,East,Office Supplies,Storage,0.836,2,0.0,-9.3737,175,1
2016-12-15,2016-12-16,Same Day,Corporate,United States,California,West,Office Supplies,Paper,1250.602,4,0.0,20.2862,1077,1
2015-12-09,2015-12-12,Standard Class,Home Office,United States,New York,East,Office Supplies,Storage,49.8424,2,0.0,562.7156,705,3
2015-02-02,2015-02-06,Standard Class,Corporate,United States,Florida,South,Office Supplies,Binders,85.6341,2,0.0,18.2656,395,4
2016-12-01,2016-12-04,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Paper,94.8197,3,0.8,429.2944,1063,3
2016-06-17,2016-06-20,Standard Class,Home Office,United States,California,West,Office Supplies,Fasteners,506.0345,6,0.0,21.8182,896,3
2015-06-24,2015-06-28,Second Class,Consumer,United States,California,West,Office Supplies,Storage,613.355,5,0.0,107.8554,537,4
2016-12-31,2017-01-03,Second Class,Consumer,United States,Massachusetts,East,Furniture,Furnishings,76.8102,5,0.0,293.3701,1093,3
2016-12-31,2017-01-05,Standard Class,Corporate,United States,Georgia,South,Office Supplies,Supplies,225.9933,5,0.0,52.5246,1093,5
2014-11-03,2014-11-07,Standard Class,Consumer,United States,Nebraska,Central,Furniture,Furnishings,78.3574,5,0.0,28.4214,304,4
2016-02-28,2016-03-02,Standard Class,Consumer,United States,New York,East,Office Supplies,Labels,0.836,2,0.2,6.7769,786,3
2014-12-15,2014-12-20,Second Class,Consumer,United States,Arkansas,South,Office Supplies,Appliances,32.1661,2,0.0,91.5095,346,5
2016-12-31,2017-01-03,Second Class,Consumer,United States,Ohio,East,Furniture,Furnishings,89.9583,5,0.0,14.7815,1093,3
2016-12-31,2017-01-01,First Class,Consumer,United States,New York,East,Office Supplies,Fasteners,87.4354,5,0.2,39.6411,1093,1
2016-02-24,2016-02-28,Standard Class,Consumer,United States,Virginia,South,Office Supplies,Paper,78.5655,6,0.2,15.8596,782,4
2016-12-31,2017-01-03,Second Class,Consumer,United States,Kansas,Central,Furniture,Furnishings,54.4663,9,0.7,17.8982,1093,3
2016-03-27,2016-03-29,Second Class,Consumer,United States,Idaho,West,Technology,Accessories,42.4123,7,0.0,150.7437,814,2
2014-05-29,2014-05-30,Second Class,Consumer,United States,Virginia,South,Technology,Accessories,20.1736,8,0.0,66.7668,146,1
2015-10-06,2015-10-10,First Class,Consumer,United States,California,West,Office Supplies,Envelopes,80.7673,2,0.2,398.953,641,4
2016-12-31,2017-01-01,Same Day,Corporate,United States,Colorado,West,Office Supplies,Binders,106.7349,2,0.0,76.6902,1093,1
2014-10-25,2014-10-30,Standard Class,Consumer,United States,Missouri,Central,Furniture,Furnishings,67.8021,5,0.0,8.0479,295,5
2016-12-17,2016-12-18,Second Class,Consumer,United States,Illinois,Central,Office Supplies,Paper,313.0632,3,0.6,140.4591,1079,1
2016-12-27,2016-12-28,Same Day,Consumer,United States,Florida,South,Office Supplies,Art,710.4681,5,0.2,410.8895,1089,1
2014-11-18,2014-11-24,Standard Class,Consumer,United States,Oklahoma,Central,Technology,Phones,28.3648,5,0.2,-0.7391,319,6
2016-12-31,2017-01-05,Standard Class,Corporate,United States,Pennsylvania,East,Office Supplies,Art,53.8895,4,0.0,32.5,1093,5
2016-09-21,2016-09-22,Same Day,Home Office,United States,New York,East,Office Supplies,Storage,51.4577,2,0.0,-8.6039,992,1
2014-11-02,2014-11-05,Standard Class,Corporate,United States,Michigan,Central,Office Supplies,Binders,57.0109,2,0.0,49.1088,303,3
2016-12-31,2017-01-04,Standard Class,Consumer,United States,Wisconsin,Central,Furniture,Chairs,18.2383,3,0.0,32.0945,1093,4
2015-12-28,2016-01-01,Second Class,Consumer,United States,New York,East,Furniture,Chairs,67.129,7,0.2,179.7798,724,4
2016-06-19,2016-06-22,Standard Class,Consumer,United States,Ohio,East,Furniture,Chairs,91.2274,5,0.0,60.0937,898,3
2016-11-18,2016-11-22,First Class,Consumer,United States,Ohio,East,Office Supplies,Paper,48.8293,2,0.0,47.2219,1050,4
2015-05-21,2015-05-24,Standard Class,Home Office,United States,Louisiana,South,Office Supplies,Envelopes,1520.952,6,0.0,16.4128,503,3
2014-06-15,2014-06-16,Same Day,Corporate,United States,New York,East,Office Supplies,Paper,71.0951,5,0.0,27.8208,163,1
2014-12-07,2014-12-11,First Class,Consumer,United States,Rhode Island,East,Furniture,Furnishings,510.8196,7,0.0,518.5318,338,4
2016-01-29,2016-02-01,Standard Class,Corporate,United States,Virginia,South,Furniture,Furnishings,49.8429,4,0.2,40.1429,756,3
2014-05-21,2014-05-24,Second Class,Corporate,United States,Colorado,West,Furniture,Bookcases,92.7896,2,0.0,7.7936,138,3
2016-12-16,2016-12-19,Standard Class,Corporate,United States,Illinois,Central,Technology,Phones,47.8736,2,0.0,3.1024,1078,3
2016-04-13,2016-04-16,First Class,Corporate,United States,Pennsylvania,East,Office Supplies,Storage,228.5803,3,0.0,124.2122,831,3
2014-09-16,2014-09-21,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Storage,235.8819,2,0.2,1204.6957,256,5
2016-03-21,2016-03-22,First Class,Corporate,United States,California,West,Office Supplies,Storage,76.087,2,0.6,59.4953,808,1
2016-03-04,2016-03-10,Standard Class,Consumer,United States,Arkansas,South,Office Supplies,Fasteners,78.378,2,0.0,35.9193,791,6
2014-12-19,2014-12-24,Standard Class,Consumer,United States,Oregon,West,Furniture,Chairs,99.1254,3,0.3,214.9748,350,5
2016-03-16,2016-03-19,First Class,Consumer,United States,Oregon,West,Furniture,Tables,64.0432,7,0.0,25.5058,803,3
2016-10-13,2016-10-17,Standard Class,Corporate,United States,New York,East,Office Supplies,Binders,97.3124,1,0.0,83.0094,1014,4
2016-04-26,2016-04-27,Same Day,Consumer,United States,Ohio,East,Office Supplies,Art,56.649,2,0.0,141.2992,844,1
2016-03-24,2016-03-25,Same Day,Consumer,United States,California,West,Office Supplies,Labels,57.0778,6,0.0,-27.5651,811,1
2015-12-05,2015-12-07,First Class,Consumer,United States,Alabama,South,Furniture,Bookcases,212.9669,3,0.0,64.2475,701,2
2015-11-13,2015-11-14,Second Class,Corporate,United States,New York,East,Technology,Accessories,1203.9162,3,0.0,23.3354,679,1
2015-03-26,2015-03-31,Second Class,Corporate,United States,California,West,Office Supplies,Appliances,82.4658,8,0.2,113.946,447,5
2016-11-24,2016-11-30,Standard Class,Consumer,United States,Montana,West,Furniture,Chairs,587.555,2,0.8,123.9912,1056,6
2016-08-15,2016-08-20,Second Class,Consumer,United States,California,West,Office Supplies,Appliances,70.8943,6,0.0,31.9703,955,5
2014-09-11,2014-09-12,First Class,Consumer,United States,Texas,Central,Office Supplies,Envelopes,309.5312,5,0.0,22.0217,251,1
2015-07-08,2015-07-12,First Class,Corporate,United States,Illinois,Central,Office Supplies,Binders,57.7424,5,0.0,-78.6512,551,4
2016-11-17,2016-11-20,Second Class,Consumer,United States,Texas,Central,Office Supplies,Art,62.6191,2,0.0,102.762,1049,3
2016-12-05,2016-12-10,Second Class,Corporate,United States,Pennsylvania,East,Office Supplies,Storage,584.6959,2,0.0,28.6124,1067,5
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Nebraska,Central,Office Supplies,Art,311.9242,3,0.0,123.7443,478,6
2016-12-27,2016-12-30,Standard Class,Consumer,United States,North Carolina,South,Office Supplies,Binders,597.0389,5,0.0,124.7684,1089,3
2016-12-31,2017-01-03,Second Class,Corporate,United States,Washington,West,Technology,Accessories,87.9682,2,0.0,22.5223,1093,3
2015-11-04,2015-11-07,Standard Class,Consumer,United States,Washington,West,Furniture,Furnishings,73.4598,6,0.0,-1.0873,670,3
2016-08-04,2016-08-11,Standard Class,Home Office,United States,Texas,Central,Office Supplies,Art,79.2284,2,0.0,455.6853,944,7
2015-08-10,2015-08-13,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,58.2553,5,0.0,18.5101,584,3
2016-12-31,2017-01-03,Standard Class,Corporate,United States,Wisconsin,Central,Office Supplies,Storage,349.2222,4,0.0,52.0453,1093,3
2014-12-01,2014-12-02,Second Class,Consumer,United States,Washington,West,Furniture,Furnishings,71.5418,5,0.0,313.7556,332,1
2015-06-11,2015-06-14,Standard Class,Consumer,United States,Florida,South,Office Supplies,Art,106.2737,3,0.0,259.1716,524,3
2016-12-31,2017-01-04,First Class,Corporate,United States,Ohio,East,Office Supplies,Fasteners,1644.6298,5,0.0,17.793,1093,4
2014-05-03,2014-05-07,Standard Class,Consumer,United States,California,West,Furniture,Chairs,67.4704,2,0.7,35.4302,120,4
2016-10-18,2016-10-22,Second Class,Consumer,United States,New York,East,Technology,Phones,282.4539,6,0.2,182.2256,1019,4
2016-10-11,2016-10-14,Standard Class,Corporate,United States,Nebraska,Central,Office Supplies,Appliances,215.6242,5,0.5,32.238,1012,3
2014-10-15,2014-10-17,First Class,Consumer,United States,California,West,Office Supplies,Binders,15.1942,2,0.0,129.7704,285,2
2014-10-07,2014-10-12,Standard Class,Consumer,United States,Arizona,West,Furniture,Chairs,81.4961,3,0.2,-7.5468,277,5
2016-12-30,2017-01-01,First Class,Corporate,United States,Florida,South,Office Supplies,Paper,272.6378,5,0.0,343.708,1092,2
2015-11-08,2015-11-11,Standard Class,Consumer,United States,California,West,Furniture,Chairs,89.3993,6,0.0,284.1894,674,3
2015-11-23,2015-11-26,First Class,Corporate,United States,North Carolina,South,Office Supplies,Binders,65.4852,3,0.0,-49.4532,689,3
2014-01-24,2014-01-29,Second Class,Corporate,United States,Massachusetts,East,Technology,Phones,50.6863,3,0.7,8.8147,21,5
2016-12-31,2017-01-03,First Class,Corporate,United States,Ohio,East,Office Supplies,Supplies,2.4092,5,0.0,202.096,1093,3
2016-03-19,2016-03-24,Standard Class,Consumer,United States,Massachusetts,East,Office Supplies,Labels,82.6826,2,0.32,121.033,806,5
2014-11-13,2014-11-16,Standard Class,Home Office,United States,North Carolina,South,Office Supplies,Supplies,27.7265,6,0.0,8.8134,314,3
2015-08-16,2015-08-22,Standard Class,Consumer,United States,Pennsylvania,East,Office Supplies,Paper,230.7802,5,0.0,120.7073,590,6
2015-09-08,2015-09-10,First Class,Consumer,United States,Washington,West,Technology,Phones,61.4857,7,0.3,337.7204,613,2
2014-08-22,2014-08-23,Same Day,Consumer,United States,Illinois,Central,Office Supplies,Envelopes,83.5371,10,0.0,29.47,231,1
2014-12-08,2014-12-11,Standard Class,Consumer,United States,Illinois,Central,Furniture,Tables,244.7816,4,0.2,247.0244,339,3
2016-07-20,2016-07-21,Second Class,Corporate,United States,Mississippi,South,Office Supplies,Envelopes,0.836,5,0.0,292.9279,929,1
2016-12-31,2017-01-03,Second Class,Home Office,United States,California,West,Technology,Accessories,48.1138,3,0.0,28.3267,1093,3
2016-04-21,2016-04-26,Second Class,Corporate,United States,Texas,Central,Office Supplies,Supplies,72.2382,2,0.2,-47.5984,839,5
2016-03-04,2016-03-11,Standard Class,Consumer,United States,California,West,Furniture,Bookcases,795.9334,4,0.7,1004.382,791,7
2015-02-09,2015-02-12,Standard Class,Home Office,United States,California,West,Office Supplies,Appliances,25.0867,5,0.0,150.6363,402,3
2014-08-14,2014-08-17,Second Class,Consumer,United States,Florida,South,Furniture,Chairs,253.6048,2,0.2,4.9391,223,3
2014-07-03,2014-07-07,First Class,Corporate,United States,New York,East,Office Supplies,Binders,239.6864,3,0.2,31.5504,181,4
2015-10-10,2015-10-13,Standard Class,Consumer,United States,Ohio,East,Furniture,Tables,80.5446,5,0.0,27.4263,645,3
2015-10-15,2015-10-18,Standard Class,Home Office,United States,California,West,Office Supplies,Paper,542.6593,2,0.0,34.0551,650,3
2015-12-13,2015-12-15,First Class,Home Office,United States,New York,East,Office Supplies,Storage,261.9398,5,0.0,55.9281,709,2
2015-02-24,2015-02-28,First Class,Home Office,United States,California,West,Office Supplies,Fasteners,90.4304,2,0.0,588.0871,417,4
2016-02-03,2016-02-03,Same Day,Corporate,United States,Virginia,South,Office Supplies,Binders,260.6986,2,0.0,-262.0942,761,0
2014-12-11,2014-12-12,Same Day,Corporate,United States,New Jersey,East,Technology,Phones,1311.3987,2,0.7,9.6446,342,1
2016-10-09,2016-10-13,Standard Class,Corporate,United States,Georgia,South,Office Supplies,Supplies,23.0643,5,0.0,17.0101,1010,4
2016-12-17,2016-12-18,Same Day,Corporate,United States,California,West,Office Supplies,Binders,6.6021,7,0.0,23.7886,1079,1
2014-10-04,2014-10-08,First Class,Consumer,United States,Florida,South,Office Supplies,Appliances,27.1888,7,0.0,8.353,274,4
2014-05-05,2014-05-08,Standard Class,Corporate,United States,Wisconsin,Central,Office Supplies,Binders,31.9272,1,0.3,535.0711,122,3
2016-12-31,2017-01-01,Second Class,Consumer,United States,Pennsylvania,East,Furniture,Tables,106.6514,5,0.0,199.9757,1093,1
2016-04-21,2016-04-22,First Class,Consumer,United States,Ohio,East,Furniture,Furnishings,72.9336,2,0.0,27.5554,839,1
2016-12-31,2017-01-03,Standard Class,Home Office,United States,Texas,Central,Furniture,Chairs,62.2253,6,0.0,21.4554,1093,3
2015-04-29,2015-05-02,Second Class,Consumer,United States,New York,East,Furniture,Furnishings,81.6929,5,0.0,424.3446,481,3
2016-12-31,2017-01-02,Second Class,Corporate,United States,Florida,South,Furniture,Bookcases,318.0471,2,0.0,125.0234,1093,2
2014-12-07,2014-12-11,First Class,Consumer,United States,California,West,Furniture,Tables,278.8112,3,0.0,17.5864,338,4
2014-10-29,2014-10-30,Second Class,Consumer,United States,California,West,Furniture,Furnishings,55.7029,2,0.0,3.1825,299,1
2015-02-11,2015-02-14,Second Class,Home Office,United States,Florida,South,Office Supplies,Fasteners,88.4031,7,0.0,148.7745,404,3
2015-12-15,2015-12-20,Second Class,Corporate,United States,Alabama,South,Technology,Copiers,39.991,5,0.0,10.3587,711,5
2016-08-10,2016-08-16,Standard Class,Corporate,United States,Virginia,South,Office Supplies,Storage,41.8738,6,0.2,48.2997,950,6
2014-08-10,2014-08-13,Standard Class,Home Office,United States,Arizona,West,Office Supplies,Art,77.153,7,0.0,37.2724,219,3
2015-04-03,2015-04-08,Second Class,Consumer,United States,Florida,South,Furniture,Furnishings,75.2033,11,0.0,84.1488,455,5
2014-05-26,2014-05-29,Standard Class,Consumer,United States,Florida,South,Furniture,Chairs,74.8757,6,0.0,2529.422,143,3
2016-12-25,2016-12-28,Standard Class,Corporate,United States,Missouri,Central,Office Supplies,Art,40.0577,5,0.0,23.2891,1087,3
2016-04-27,2016-05-01,Standard Class,Home Office,United States,Wisconsin,Central,Office Supplies,Supplies,20.9277,1,0.0,-109.167,845,4
2016-01-25,2016-01-26,Same Day,Home Office,United States,Pennsylvania,East,Office Supplies,Paper,174.4712,2,0.0,104.2705,752,1
2014-12-19,2014-12-22,Second Class,Consumer,United States,Pennsylvania,East,Furniture,Furnishings,379.0921,6,0.2,242.6489,350,3
2015-03-15,2015-03-18,Standard Class,Consumer,United States,Nebraska,Central,Furniture,Chairs,42.8748,3,0.6,122.9294,436,3
2016-04-20,2016-04-27,Standard Class,Consumer,United States,California,West,Technology,Accessories,56.3085,2,0.2,13.7781,838,7
2016-01-21,2016-01-24,Standard Class,Home Office,United States,New York,East,Office Supplies,Binders,68.5196,2,0.0,-6.5443,748,3
2015-05-11,2015-05-16,Standard Class,Consumer,United States,Maine,East,Furniture,Furnishings,22.2404,4,0.0,410.4139,493,5
2016-05-26,2016-05-27,Same Day,Home Office,United States,California,West,Office Supplies,Envelopes,186.8725,7,0.0,31.6953,874,1
2016-03-15,2016-03-19,Standard Class,Consumer,United States,Florida,South,Furniture,Furnishings,99.2527,2,0.0,159.7133,802,4
2015-08-16,2015-08-21,Second Class,Consumer,United States,Texas,Central,Office Supplies,Paper,88.5823,3,0.0,968.0225,590,5
2015-02-11,2015-02-17,Standard Class,Corporate,United States,Montana,West,Furniture,Bookcases,73.9946,2,0.2,3.5018,404,6
2014-06-22,2014-06-27,Second Class,Corporate,United States,Arkansas,South,Office Supplies,Art,44.8917,5,0.0,-9.1556,170,5
2016-12-31,2017-01-01,First Class,Consumer,United States,New York,East,Furniture,Chairs,89.6723,5,0.0,33.3319,1093,1
2014-06-14,2014-06-19,Second Class,Home Office,United States,Illinois,Central,Technology,Accessories,91.5058,6,0.0,264.5001,162,5
2016-04-16,2016-04-17,Second Class,Home Office,United States,Texas,Central,Technology,Accessories,58.075,2,0.6,114.9199,834,1
2015-05-10,2015-05-17,Standard Class,Consumer,United States,Arizona,West,Technology,Phones,140.5974,2,0.0,97.2023,492,7
2015-03-03,2015-03-04,Same Day,Consumer,United States,New York,East,Furniture,Furnishings,68.4558,6,0.8,3121.4817,424,1
2014-06-08,2014-06-11,First Class,Consumer,United States,Rhode Island,East,Office Supplies,Storage,202.9238,8,0.0,6.8569,156,3
2014-03-25,2014-03-28,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Appliances,90.4673,5,0.2,265.8564,81,3
2016-04-28,2016-05-04,Standard Class,Home Office,United States,Arizona,West,Office Supplies,Labels,40.4982,5,0.0,106.8862,846,6
2014-11-11,2014-11-17,Standard Class,Consumer,United States,Rhode Island,East,Office Supplies,Storage,0.836,4,0.0,-109.6859,312,6
2015-08-13,2015-08-18,Second Class,Home Office,United States,Kentucky,South,Technology,Copiers,229.5319,5,0.0,390.5407,587,5
2016-12-31,2017-01-05,Second Class,Consumer,United States,California,West,Office Supplies,Fasteners,47.3103,3,0.0,132.3504,1093,5
2014-12-29,2014-12-30,Same Day,Corporate,United States,Ohio,East,Technology,Phones,99.4372,2,0.0,18.8506,360,1
2015-08-20,2015-08-24,First Class,Corporate,United States,New York,East,Furniture,Bookcases,81.393,2,0.0,18.4087,594,4
2016-12-31,2017-01-06,Standard Class,Consumer,United States,New York,East,Office Supplies,Binders,82.9397,2,0.2,-26.3575,1093,6
